!mjd_obs        !mean_dy        !mean_dx       
!---------------!---------------!---------------
 57069.4413043   -7.32           -3.051        
 57069.4502333   -5.709          -0.25         
 57069.451107    -10.928         -0.73         
 57071.4526044   -7.668          -2.987        
 57071.4641812   -11.064         -0.772        
 57071.5191417   -3.949          -1.57         
 57072.4069194   -7.662          -3.091        
 57076.4185383   -11.068         -0.745        
 57078.4471092   -7.173          -3.103        
 57078.4586823   -10.666         -0.838        
 57079.7720924   -7.627          -3.062        
 57080.4477663   -7.407          -3.024        
 57085.4921208   -7.342          -3.023        
 57085.5038642   -10.946         -0.748        
 57087.4614385   -7.564          -3.189        
 57087.4776737   -10.914         -0.844        
 57087.478903    -5.756          -0.323        
 57092.4983847   -7.212          -3.391        
 57092.51034     -10.786         -1.145        
 57093.4847007   -11.023         -1.314        
 57097.3912571   -11.369         -0.942        
 57099.4811729   -7.416          -3.269        
 57099.4927712   -10.625         -0.886        
 57110.3777866   -10.48          -0.647        
 57111.481684    -6.993          -3.082        
 57111.493253    -10.469         -0.674        
 57118.474951    -1.618          -3.458        
 57118.4865258   -4.931          -1.174        
 57118.540924    -1.526          -3.335        
 57118.5491332   -4.807          -1.122        
 57118.5503607   -2.781          -0.484        
 57119.4728744   -2.947          -3.413        
 57120.1662153   -2.809          -3.389        
 57124.4787267   -3.479          -0.544        
 57125.4901282   -3.23           -3.379        
 57125.501709    -6.048          -1.068        
 57125.5559934   -2.946          -3.42         
 57126.4746018   -5.935          -1.143        
 57127.4866215   -3.511          -0.457        
 57128.4659861   -2.95           -3.325        
 57130.4675918   -3.133          -0.315        
 57132.4834287   -3.279          -3.236        
 57132.4950185   -6.078          -0.708        
 57133.4625901   -3.353          -0.225        
 57136.458561    -2.959          -3.404        
 57139.4077537   -2.596          -3.457        
 57139.4193382   -5.748          -0.97         
 57140.3248147   -5.905          -1.225        
 57142.4743478   -2.92           -3.383        
 57143.4628471   -6.459          -1.066        
 57146.4699265   -2.871          -3.339        
 57146.4816685   -5.866          -0.861        
 57146.537052    -3.086          -0.291        
 57146.5379281   -5.472          -0.747        
 57156.497885    -3.019          -3.345        
