!mjd_obs        !mean_dy        !mean_dx       
!---------------!---------------!---------------
 57454.5789371   -0.646          1.893         
 57455.4654211   -1.447          1.511         
 57456.4756485   -0.792          1.454         
 57461.4971721   -0.598          1.735         
 57461.5056616   -2.013          2.133         
 57464.4925428   -2.045          1.926         
 57465.4907791   -0.647          1.559         
 57467.4830952   -0.851          1.287         
 57467.5531845   -0.782          1.16          
 57468.4995481   -0.563          1.277         
 57468.5080703   -1.913          1.787         
 57470.5436678   -0.18           1.301         
 57475.5177825   -0.232          1.266         
 57475.5262864   -1.78           1.714         
 57476.4948842   -0.094          1.332         
 57478.499528    -1.827          1.901         
 57479.503389    -1.801          1.817         
 57482.503417    -0.396          1.539         
 57482.5119461   -2.016          1.977         
 57482.5530338   -1.434          1.419         
 57484.4670772   -0.427          1.278         
 57485.5100483   -0.683          1.237         
 57488.4965123   -2.019          1.856         
 57489.4485756   -0.445          1.316         
 57489.4570922   -1.885          1.906         
 57489.5210696   -0.408          1.462         
 57495.4686067   -1.564          1.671         
 57496.5184725   -0.378          1.203         
 57496.5275218   -1.865          1.482         
 57496.5685815   1.429           1.868         
 57497.520179    -0.112          1.411         
 57500.5101371   -1.674          1.891         
 57503.5171442   -0.26           1.12          
 57503.5256777   -1.723          1.763         
 57503.5784657   -1.726          1.658         
 57510.530666    -0.76           0.991         
 57510.5391758   -1.873          1.724         
 57513.4489061   -0.634          1.142         
 57513.4589104   1.007           1.857         
 57516.4313323   -0.378          1.187         
 57517.4776421   -1.105          0.71          
 57517.4862654   -2.417          1.626         
 57520.502339    -2.076          1.855         
 57522.6466865   -1.399          1.259         
 57523.5046264   -0.69           1.187         
 57523.5126534   -1.742          2.066         
 57524.5276622   -0.722          1.236         
 57524.5363143   -2.249          1.805         
 57527.5514158   -1.988          1.832         
 57529.4903995   -0.546          1.307         
 57530.5077659   -1.888          1.951         
 57531.500125    -0.836          1.45          
 57531.5086301   -2.333          1.871         
 57538.6358554   -0.352          1.629         
 57538.6443532   -1.858          1.997         
 57540.5568794   -0.623          1.283         
 57540.5649061   -1.81           2.039         
 57543.5039236   -0.625          1.275         
 57543.5119349   -1.868          2.062         
 57543.5131519   -1.326          1.366         
 57545.4762584   -0.357          1.779         
 57545.4847711   -1.958          2.173         
 57548.5242711   -0.883          1.365         
 57548.5343723   -1.62           1.454         
 57548.5353482   -2.387          2.026         
 57550.4876762   -0.937          1.21          
 57551.5396512   -0.775          1.239         
 57551.5496545   -2.167          1.901         
 57552.541437    -0.938          1.216         
 57552.5499363   -2.385          1.808         
 57552.600261    0.884           1.997         
 57553.5252474   -1.554          1.361         
 57554.5247356   -2.202          2.047         
 57555.5217401   -0.508          1.431         
 57559.539156    -0.232          1.544         
 57559.5476723   -1.917          1.971         
 57566.5144253   -0.642          1.412         
 57566.5232281   -2.497          2.075         
 57567.5872634   -2.876          1.86          
 57570.5200337   -1.253          1.395         
 57570.5210013   -1.681          2.021         
 57571.5241884   -0.008          1.35          
 57572.4523044   1.262           1.881         
 57573.4679233   0.317           1.224         
 57573.4767649   -2.194          1.569         
 57576.5088728   -0.228          1.482         
 57576.5189226   -2.008          2.039         
 57580.521363    0.232           1.316         
 57580.5298753   -1.399          1.944         
 57582.5246465   -1.461          2.129         
 57583.5377576   0.178           1.312         
 57585.5215929   -1.809          1.928         
 57587.5477943   -0.127          1.503         
 57587.5563214   -1.681          1.951         
 57587.6609556   -1.395          1.362         
 57590.511345    -1.827          1.783         
 57592.5326406   -1.255          1.291         
 57593.5141219   -0.097          1.278         
 57594.527966    -0.204          1.35          
 57594.5366702   -1.841          2.045         
 57595.5366026   -1.694          1.797         
 57596.5018123   -1.415          1.329         
 57597.5289338   -0.82           1.148         
 57600.4868712   -0.574          1.235         
 57600.4948853   -1.232          1.334         
 57601.5157467   -0.455          1.067         
 57601.5245428   -1.881          1.747         
 57601.5761485   -1.813          2.045         
 57604.5070167   -1.366          1.231         
 57608.5399498   -0.095          1.292         
 57608.548466    -1.585          1.711         
 57608.6137046   -0.09           1.385         
 57610.4994842   -1.639          1.818         
 57612.5098116   -1.258          1.249         
 57613.5320955   -0.031          1.103         
 57615.6051315   -0.317          1.128         
 57615.6136456   -1.813          1.713         
 57616.4820735   -1.563          1.521         
 57619.5338311   -0.252          0.934         
 57619.5438466   -1.66           1.666         
 57622.5419498   -0.74           1.022         
 57622.5507472   -2.341          1.741         
 57623.4760753   -1.622          1.438         
 57623.4772967   -1.265          1.083         
 57624.4835176   -0.577          1.084         
 57629.503101    0.204           0.991         
 57629.5119047   -1.556          1.819         
 57629.5949701   0.028           1.037         
 57629.6050134   -1.811          1.752         
 57634.4711814   -1.815          1.786         
 57635.5588381   -0.087          1.272         
 57635.5600637   -0.616          1.139         
 57636.5128122   0.053           1.286         
 57636.5213377   -1.847          1.845         
 57639.494468    -1.524          1.702         
 57640.5257796   -0.385          1.199         
 57642.4757169   -0.819          1.079         
 57643.4286589   -1.481          1.186         
 57643.5209049   -0.712          1.204         
 57643.5294193   -2.08           1.728         
 57643.6108484   -0.491          1.356         
 57643.6273234   -1.977          1.744         
 57650.5063462   -0.579          1.013         
 57650.5148805   -2.273          1.658         
 57651.5016117   -2.003          1.694         
 57654.4781042   -0.893          1.876         
 57655.4988642   0.324           0.916         
 57657.5143719   0.369           1.107         
 57657.5228953   -1.113          1.668         
 57658.4841682   -0.313          1.149         
 57662.3722407   -0.725          1.648         
 57663.5219115   -0.394          1.187         
 57663.5299183   -1.353          1.764         
 57664.4901219   0.419           1.251         
 57664.4986152   -1.093          1.865         
 57665.4684954   0.567           1.133         
 57671.4724242   0.928           1.229         
 57671.4808983   -0.58           1.978         
 57674.5520935   0.847           1.402         
 57674.5610499   -0.714          2.194         
 57674.562272    -0.75           1.44          
 57678.4915875   0.779           1.379         
 57678.5000951   -0.781          2.175         
 57680.5261871   0.659           1.401         
 57684.5233255   0.741           1.564         
 57685.4794909   0.56            1.372         
 57685.4880036   -0.985          2.181         
 57686.4373375   -0.911          2.019         
 57687.5097458   0.255           1.318         
 57687.5187041   -0.968          1.361         
 57690.5022829   -0.162          1.303         
 57690.5103136   -0.728          1.814         
 57692.4743732   1.108           1.505         
 57692.4828781   -0.44           2.137         
 57694.4833658   0.017           1.238         
 57699.4471216   0.693           1.33          
 57699.4556511   -0.728          2.075         
