!mjd_obs        !mean_dy        !mean_dx       
!---------------!---------------!---------------
 57226.545904    3.185           -1.007        
 57226.5543933   2.462           -0.744        
 57229.5272857   2.489           -1.103        
 57229.5357658   1.781           -0.922        
 57229.5819415   1.838           -0.977        
 57229.5833155   0.428           -0.164        
 57230.5177406   0.825           -0.14         
 57232.5055481   0.939           -0.156        
 57234.5173542   3.248           -1.331        
 57234.5187358   0.993           -0.132        
 57236.6006621   2.907           -1.18         
 57236.6091564   2.199           -1.04         
 57244.7521923   2.789           -1.147        
 57244.7607829   2.074           -0.994        
 57246.6110392   2.074           -0.936        
 57248.4901654   0.904           -0.115        
 57250.4001313   2.973           -1.365        
 57250.4086287   2.195           -1.042        
 57250.4429716   3.112           -1.307        
 57251.3135455   3.654           -1.185        
 57251.3240562   2.918           -1.107        
 57254.5085271   0.899           -0.314        
 57255.588993    3.408           -1.241        
 57255.5981337   2.627           -0.826        
 57257.5313131   3.092           -1.273        
 57257.539832    2.401           -0.954        
 57258.5135124   2.662           -1.012        
 57258.5148935   0.642           -0.941        
 57259.5009754   0.743           -0.979        
 57260.5740665   0.789           -0.842        
 57261.5212309   -0.121          -0.932        
 57264.5501762   2.307           -1.091        
 57264.5589664   1.762           -0.846        
 57268.4926852   0.955           -0.138        
 57268.5008803   0.825           -0.17         
 57269.5053099   0.999           -0.032        
 57270.4985374   0.919           -0.135        
 57271.4932757   3.365           -0.99         
 57271.5021281   2.793           -1.004        
 57271.5551957   0.86            -0.066        
 57272.495424    3.421           -1.001        
 57273.4558998   1.505           -0.18         
 57275.6290202   1.042           -0.074        
 57276.4687299   3.258           -1.19         
 57277.4808525   0.824           -0.085        
 57278.5641529   2.884           -1.087        
 57278.5726872   2.152           -0.875        
 57282.4671236   0.752           0.096         
 57282.6749749   0.923           -0.104        
 57283.4872847   2.987           -1.171        
 57285.5031935   3.183           -1.083        
 57285.5119754   2.64            -1.012        
 57292.4710111   3.212           -1.103        
 57292.4795369   2.494           -0.872        
 57292.5670604   3.197           -1.064        
 57292.5773944   0.743           -0.139        
 57295.5057872   3.5             -1.133        
 57295.5161132   0.923           -0.069        
 57298.4740286   2.233           -0.974        
 57299.4804356   2.853           -1.196        
 57299.4893385   2.057           -0.818        
 57299.5241755   0.786           -0.101        
 57300.1748521   2.302           -1.066        
 57300.1829489   0.656           -0.078        
 57300.191392    1.77            -0.749        
 57300.1994992   0.447           -0.082        
 57306.5593181   3.255           -1.11         
 57306.5680496   2.4             -0.993        
 57306.6218558   0.929           -0.04         
 57310.4998097   2.659           -1.296        
 57310.5101469   0.834           -0.171        
 57311.4692474   2.352           -0.969        
 57321.4698996   3.108           -0.988        
 57321.4783916   2.353           -0.901        
 57327.487577    1.269           -0.069        
 57327.5012503   2.947           -0.798        
 57328.4542165   3.934           -1.104        
 57328.4627104   2.842           -0.937        
 57329.4007176   3.563           -1.105        
 57331.1444056   2.596           -1.014        
 57331.1525508   0.794           -0.016        
 57331.1612821   1.747           -0.925        
 57331.1693643   0.428           -0.073        
 57335.4412364   2.627           -1.205        
 57335.4497639   2.216           -0.944        
 57335.4923849   0.929           -0.093        
 57336.4559838   2.258           -0.749        
 57338.4491532   0.822           -0.202        
 57340.4528431   2.634           -1.082        
 57340.4764352   1.814           -0.845        
 57342.4664272   3.166           -1.161        
 57342.4749134   1.731           -1.046        
 57342.5200196   0.933           -0.059        
 57343.452342    2.472           -0.882        
 57347.450607    3.291           -0.995        
 57349.438995    3.505           -1.112        
 57349.4475117   2.582           -0.967        
 57356.4548519   9.195           0.116         
 57356.4633644   7.34            0.373         
 57357.4410491   0.198           0.223         
 57358.5986025   -0.429          0.001         
 57358.8339705   -0.295          0.112         
 57359.468682    0.194           0.255         
 57360.4445983   -0.278          0.04          
 57363.4465253   4.508           0.215         
 57363.4550256   2.894           0.204         
 57370.4499586   4.324           0.123         
 57370.4587341   2.474           0.309         
 57377.4500192   3.852           0.19          
 57377.458486    2.499           0.402         
 57377.549639    1.481           0.548         
 57377.5688993   2.592           0.324         
 57378.4353247   4.392           0.112         
 57380.4239216   1.739           0.106         
 57384.4694845   4.062           0.199         
 57384.4779816   2.414           0.363         
 57391.4653341   3.533           0.209         
 57391.473833    1.719           0.363         
 57397.4419029   1.299           0.72          
 57398.4468815   3.92            0.399         
 57398.4553664   2.23            0.551         
 57399.4569523   2.825           0.53          
 57401.4482173   0.736           0.737         
 57405.4909045   3.783           0.252         
 57405.4993885   2.186           0.502         
 57412.4983366   3.932           0.105         
 57412.5068121   2.089           0.353         
 57419.5145024   4.021           0.601         
 57419.5230204   2.356           0.501         
 57423.4489482   2.384           0.513         
 57424.443831    1.427           0.618         
 57426.5128808   4.127           0.429         
 57426.5213951   2.544           0.555         
 57427.4911176   1.384           0.591         
 57428.48345     0.713           0.607         
 57431.4781418   -0.226          0.455         
 57433.4976644   3.471           0.252         
 57433.5061617   1.917           0.431         
 57439.5321321   4.278           0.36          
 57440.4896357   4.649           0.322         
 57440.4981351   2.932           0.395         
 57440.8377456   2.555           0.595         
 57442.4256084   0.658           0.424         
 57453.4729897   -2.096          0.522         
 57454.4954029   -1.888          0.243         
 57454.5254041   -3.689          0.269         
 57454.5789371   -2.17           0.285         
 57455.4654211   -2.384          0.586         
 57456.4756485   -1.596          0.596         
 57461.4971721   -2.042          -0.052        
 57461.5056616   -3.639          0.258         
 57464.4925428   -3.885          0.108         
 57465.4907791   -2.313          -0.057        
 57467.4830952   -1.737          0.524         
 57467.5531845   -1.595          0.392         
 57468.4995481   -2.236          -0.085        
 57468.5080703   -3.681          -0.045        
 57470.5436678   -1.719          -0.295        
 57475.5177825   -1.794          -0.233        
 57475.5262864   -3.504          -0.075        
 57476.4948842   -1.632          -0.169        
 57478.499528    -3.551          0.136         
 57479.503389    -3.48           -0.057        
 57482.503417    -1.966          -0.116        
 57482.5119461   -3.721          0.003         
 57482.5530338   -2.361          0.526         
 57484.4670772   -1.977          -0.192        
 57485.5100483   -1.503          0.448         
 57488.4965123   -3.72           0.097         
 57489.4485756   -2.06           -0.113        
