,file_name,wave_setting,MJD-OBS,path
23,UVES.2015-01-14T10_45_46.634.fits,346,57036.448456415,EDIBLES_raw_all/UVES.2015-01-14T10_45_46.634.fits
24,UVES.2015-01-14T11_31_31.032.fits,346,57036.480220285,EDIBLES_raw_all/UVES.2015-01-14T11_31_31.032.fits
25,UVES.2015-01-20T11_24_58.186.fits,346,57042.475673453,EDIBLES_raw_all/UVES.2015-01-20T11_24_58.186.fits
26,UVES.2015-01-21T12_39_30.163.fits,346,57043.527432441,EDIBLES_raw_all/UVES.2015-01-21T12_39_30.163.fits
27,UVES.2015-01-28T11_19_30.746.fits,346,57050.471883633,EDIBLES_raw_all/UVES.2015-01-28T11_19_30.746.fits
28,UVES.2015-01-30T08_05_32.171.fits,346,57052.337177909,EDIBLES_raw_all/UVES.2015-01-30T08_05_32.171.fits
29,UVES.2015-02-12T13_40_34.551.fits,346,57065.569844336,EDIBLES_raw_all/UVES.2015-02-12T13_40_34.551.fits
30,UVES.2015-02-16T11_58_04.862.fits,346,57069.498667383,EDIBLES_raw_all/UVES.2015-02-16T11_58_04.862.fits
31,UVES.2015-02-18T12_24_00.712.fits,346,57071.516674913,EDIBLES_raw_all/UVES.2015-02-18T12_24_00.712.fits
32,UVES.2015-02-19T11_31_06.565.fits,346,57072.479937098,EDIBLES_raw_all/UVES.2015-02-19T11_31_06.565.fits
33,UVES.2015-02-25T12_15_06.585.fits,346,57078.510492878,EDIBLES_raw_all/UVES.2015-02-25T12_15_06.585.fits
34,UVES.2015-02-27T11_52_38.370.fits,346,57080.494888543,EDIBLES_raw_all/UVES.2015-02-27T11_52_38.370.fits
35,UVES.2015-03-06T14_18_47.621.fits,346,57087.596384498,EDIBLES_raw_all/UVES.2015-03-06T14_18_47.621.fits
36,UVES.2015-04-20T13_07_24.896.fits,346,57132.546815932,EDIBLES_raw_all/UVES.2015-04-20T13_07_24.896.fits
37,UVES.2015-04-24T11_27_52.937.fits,346,57136.477696028,EDIBLES_raw_all/UVES.2015-04-24T11_27_52.937.fits
38,UVES.2015-05-28T13_28_27.894.fits,346,57170.561433955,EDIBLES_raw_all/UVES.2015-05-28T13_28_27.894.fits
39,UVES.2015-05-30T12_44_29.019.fits,346,57172.530891425,EDIBLES_raw_all/UVES.2015-05-30T12_44_29.019.fits
40,UVES.2015-06-02T16_17_16.772.fits,346,57175.678666342,EDIBLES_raw_all/UVES.2015-06-02T16_17_16.772.fits
41,UVES.2015-06-04T14_03_25.013.fits,346,57177.585706172,EDIBLES_raw_all/UVES.2015-06-04T14_03_25.013.fits
42,UVES.2015-06-18T13_03_46.112.fits,346,57191.544283705,EDIBLES_raw_all/UVES.2015-06-18T13_03_46.112.fits
43,UVES.2015-06-18T14_26_31.574.fits,346,57191.601754331,EDIBLES_raw_all/UVES.2015-06-18T14_26_31.574.fits
44,UVES.2015-06-26T14_38_34.511.fits,346,57199.610121647,EDIBLES_raw_all/UVES.2015-06-26T14_38_34.511.fits
45,UVES.2015-06-30T13_51_00.535.fits,346,57203.577089526,EDIBLES_raw_all/UVES.2015-06-30T13_51_00.535.fits
46,UVES.2015-07-02T19_35_15.196.fits,346,57205.816148096,EDIBLES_raw_all/UVES.2015-07-02T19_35_15.196.fits
47,UVES.2015-07-03T12_46_04.619.fits,346,57206.531997901,EDIBLES_raw_all/UVES.2015-07-03T12_46_04.619.fits
48,UVES.2015-07-16T13_27_17.755.fits,346,57219.560622172,EDIBLES_raw_all/UVES.2015-07-16T13_27_17.755.fits
49,UVES.2015-07-20T14_58_03.722.fits,346,57223.623654185,EDIBLES_raw_all/UVES.2015-07-20T14_58_03.722.fits
50,UVES.2015-08-16T10_21_56.945.fits,346,57250.431909082,EDIBLES_raw_all/UVES.2015-08-16T10_21_56.945.fits
51,UVES.2015-08-16T11_08_26.438.fits,346,57250.464194894,EDIBLES_raw_all/UVES.2015-08-16T11_08_26.438.fits
52,UVES.2015-08-17T08_01_06.053.fits,346,57251.334097827,EDIBLES_raw_all/UVES.2015-08-17T08_01_06.053.fits
53,UVES.2015-08-21T15_16_49.670.fits,346,57255.636685987,EDIBLES_raw_all/UVES.2015-08-21T15_16_49.670.fits
54,UVES.2015-08-23T13_30_41.354.fits,346,57257.562978635,EDIBLES_raw_all/UVES.2015-08-23T13_30_41.354.fits
55,UVES.2015-09-11T12_04_16.338.fits,346,57276.502966885,EDIBLES_raw_all/UVES.2015-09-11T12_04_16.338.fits
56,UVES.2015-09-13T14_18_03.572.fits,346,57278.595874679,EDIBLES_raw_all/UVES.2015-09-13T14_18_03.572.fits
57,UVES.2015-09-18T12_10_11.454.fits,346,57283.507077009,EDIBLES_raw_all/UVES.2015-09-18T12_10_11.454.fits
58,UVES.2015-09-20T12_50_44.574.fits,346,57285.535238127,EDIBLES_raw_all/UVES.2015-09-20T12_50_44.574.fits
59,UVES.2015-09-27T12_04_10.314.fits,346,57292.502897152,EDIBLES_raw_all/UVES.2015-09-27T12_04_10.314.fits
60,UVES.2015-09-27T14_49_26.011.fits,346,57292.617662164,EDIBLES_raw_all/UVES.2015-09-27T14_49_26.011.fits
61,UVES.2015-09-30T13_31_26.132.fits,346,57295.5634969,EDIBLES_raw_all/UVES.2015-09-30T13_31_26.132.fits
62,UVES.2015-10-11T14_11_44.612.fits,346,57306.591488557,EDIBLES_raw_all/UVES.2015-10-11T14_11_44.612.fits
63,UVES.2015-10-15T12_53_18.910.fits,346,57310.537024421,EDIBLES_raw_all/UVES.2015-10-15T12_53_18.910.fits
64,UVES.2015-11-09T11_21_19.011.fits,346,57335.473136698,EDIBLES_raw_all/UVES.2015-11-09T11_21_19.011.fits
65,UVES.2015-11-14T11_54_24.112.fits,346,57340.496112411,EDIBLES_raw_all/UVES.2015-11-14T11_54_24.112.fits
66,UVES.2015-11-21T11_50_21.385.fits,346,57347.493303068,EDIBLES_raw_all/UVES.2015-11-21T11_50_21.385.fits
67,UVES.2015-11-23T11_17_43.295.fits,346,57349.470639991,EDIBLES_raw_all/UVES.2015-11-23T11_17_43.295.fits
68,UVES.2015-11-30T11_40_39.939.fits,346,57356.48657337,calib_raw/UVES.2015-11-30T11_40_39.939.fits
69,UVES.2015-12-14T11_33_59.323.fits,346,57370.481936612,calib_raw/UVES.2015-12-14T11_33_59.323.fits
70,UVES.2015-12-21T11_33_28.386.fits,346,57377.481578536,calib_raw/UVES.2015-12-21T11_33_28.386.fits
71,UVES.2015-12-21T14_18_21.226.fits,346,57377.596079014,calib_raw/UVES.2015-12-21T14_18_21.226.fits
72,UVES.2015-12-24T10_25_51.211.fits,346,57380.434620499,calib_raw/UVES.2015-12-24T10_25_51.211.fits
73,UVES.2015-12-28T12_01_35.362.fits,346,57384.501103727,calib_raw/UVES.2015-12-28T12_01_35.362.fits
74,UVES.2016-01-04T11_55_37.157.fits,346,57391.496957836,calib_raw/UVES.2016-01-04T11_55_37.157.fits
75,UVES.2016-01-11T11_29_00.492.fits,346,57398.478477918,calib_raw/UVES.2016-01-11T11_29_00.492.fits
76,UVES.2016-01-12T11_39_50.312.fits,346,57399.485998983,calib_raw/UVES.2016-01-12T11_39_50.312.fits
77,UVES.2016-01-18T12_32_25.739.fits,346,57405.522520132,calib_raw/UVES.2016-01-18T12_32_25.739.fits
78,UVES.2016-01-25T12_43_06.949.fits,346,57412.529941544,calib_raw/UVES.2016-01-25T12_43_06.949.fits
79,UVES.2016-02-05T11_00_56.015.fits,346,57423.458981656,calib_raw/UVES.2016-02-05T11_00_56.015.fits
80,UVES.2016-02-15T12_42_09.887.fits,346,57433.529281098,calib_raw/UVES.2016-02-15T12_42_09.887.fits
81,UVES.2016-02-21T14_07_06.327.fits,346,57439.588267675,calib_raw/UVES.2016-02-21T14_07_06.327.fits
82,UVES.2016-02-21T14_07_06.327.fits,346,57439.588267675,EDIBLES_raw_all/UVES.2016-02-21T14_07_06.327.fits
83,UVES.2016-02-22T15_03_54.831.fits,346,57440.627717952,EDIBLES_raw_all/UVES.2016-02-22T15_03_54.831.fits
84,UVES.2016-03-17T12_42_27.999.fits,346,57464.529490728,EDIBLES_raw_all/UVES.2016-03-17T12_42_27.999.fits
85,UVES.2016-03-20T13_10_00.791.fits,346,57467.548620269,EDIBLES_raw_all/UVES.2016-03-20T13_10_00.791.fits
86,UVES.2016-03-21T12_45_13.063.fits,346,57468.531401186,EDIBLES_raw_all/UVES.2016-03-21T12_45_13.063.fits
87,UVES.2016-03-23T15_08_28.845.fits,346,57470.630889414,EDIBLES_raw_all/UVES.2016-03-23T15_08_28.845.fits
88,UVES.2016-03-28T13_11_15.335.fits,346,57475.549483039,EDIBLES_raw_all/UVES.2016-03-28T13_11_15.335.fits
89,UVES.2016-03-29T12_47_37.969.fits,346,57476.533078353,EDIBLES_raw_all/UVES.2016-03-29T12_47_37.969.fits
90,UVES.2016-04-04T12_50_32.554.fits,346,57482.535099003,EDIBLES_raw_all/UVES.2016-04-04T12_50_32.554.fits
91,UVES.2016-04-06T11_27_53.530.fits,346,57484.477702888,EDIBLES_raw_all/UVES.2016-04-06T11_27_53.530.fits
92,UVES.2016-04-11T11_31_48.602.fits,346,57489.480423626,EDIBLES_raw_all/UVES.2016-04-11T11_31_48.602.fits
93,UVES.2016-04-11T13_13_30.215.fits,346,57489.551044145,EDIBLES_raw_all/UVES.2016-04-11T13_13_30.215.fits
94,UVES.2016-04-19T13_53_50.009.fits,346,57497.579051026,EDIBLES_raw_all/UVES.2016-04-19T13_53_50.009.fits
95,UVES.2016-04-25T13_10_19.128.fits,346,57503.5488325,EDIBLES_raw_all/UVES.2016-04-25T13_10_19.128.fits
96,UVES.2016-05-05T11_27_49.598.fits,346,57513.477657384,EDIBLES_raw_all/UVES.2016-05-05T11_27_49.598.fits
97,UVES.2016-05-08T10_35_55.548.fits,346,57516.441615145,EDIBLES_raw_all/UVES.2016-05-08T10_35_55.548.fits
98,UVES.2016-05-09T14_14_57.905.fits,346,57517.593725752,EDIBLES_raw_all/UVES.2016-05-09T14_14_57.905.fits
99,UVES.2016-05-16T13_26_10.524.fits,346,57524.559844027,EDIBLES_raw_all/UVES.2016-05-16T13_26_10.524.fits
100,UVES.2016-05-21T12_20_21.910.fits,346,57529.514142475,EDIBLES_raw_all/UVES.2016-05-21T12_20_21.910.fits
101,UVES.2016-06-06T12_11_26.243.fits,346,57545.507942633,EDIBLES_raw_all/UVES.2016-06-06T12_11_26.243.fits
102,UVES.2016-06-09T13_49_26.145.fits,346,57548.575997048,EDIBLES_raw_all/UVES.2016-06-09T13_49_26.145.fits
103,UVES.2016-06-12T13_46_00.992.fits,346,57551.573622589,EDIBLES_raw_all/UVES.2016-06-12T13_46_00.992.fits
104,UVES.2016-06-13T13_45_27.641.fits,346,57552.573236591,EDIBLES_raw_all/UVES.2016-06-13T13_45_27.641.fits
105,UVES.2016-06-16T13_21_04.246.fits,346,57555.556299135,EDIBLES_raw_all/UVES.2016-06-16T13_21_04.246.fits
106,UVES.2016-06-29T12_44_07.751.fits,346,57568.530645268,EDIBLES_raw_all/UVES.2016-06-29T12_44_07.751.fits
