!mjd_obs        !mean_dy        
!---------------!---------------
 58111.690193    1.463
 58111.6986883   -0.135
 58117.4881998   0.083
 58118.449773    1.852
 58118.4584265   0.301
 58120.4831097   0.281
 58125.4609703   1.518
 58125.4694707   0.118
 58125.558176    0.321
 58131.4842578   3.191
 58132.4637839   1.726
 58132.4722885   0.22
 58134.6469992   1.821
 58134.6572614   0.171
 58139.4616054   1.818
 58139.4701011   0.489
 58142.4411107   1.476
 58146.5952978   0.932
 58146.6037866   -0.312
 58150.3518648   -0.083
 58152.4674969   1.461
 58153.466456    1.598
 58153.4749594   0.081
 58160.4731637   1.319
 58160.4816957   0.065
 58160.6266442   1.05
 58160.6355387   -0.296
 58163.6033332   1.158
 58163.607535    -0.107
 58167.5249047   1.729
 58167.5335917   0.473
 58168.5131185   2.116
 58169.4849197   0.78
 58171.5003793   1.951
 58174.5045647   2.143
 58174.5132561   0.59
 58174.5939919   0.425
 58177.5780384   2.211
 58177.5867437   0.697
 58181.5106507   1.788
 58181.5191852   0.289
 58181.6276171   0.436
 58184.5093922   3.0
 58187.5414812   0.229
 58188.4946831   1.488
 58188.5032187   0.007
 58191.5382474   0.501
 58194.5048797   2.047
 58195.4925587   2.095
 58195.5010814   0.603
 58195.6012548   0.569
 58199.4563778   1.899
 58201.4491404   2.446
 58202.4920368   2.23
 58202.5005304   0.798
 58203.3421586   2.648
 58203.3587052   0.966
 58203.4593999   2.817
 58205.4578178   2.499
 58207.4756056   2.192
 58209.4794034   2.661
 58209.5922148   2.475
 58209.6007143   1.025
 58210.5113946   4.206
 58211.565271    0.959
 58213.4864983   2.497
 58214.4958239   2.16
 58216.5286215   2.208
 58216.5371542   0.574
 58217.5156256   1.427
 58217.524172    0.123
 58217.6387471   1.917
 58220.5185916   1.956
 58223.4950208   1.581
 58224.5025146   1.72
 58224.5110586   0.245
 58227.6909006   0.113
 58228.4710005   2.088
 58229.4546866   1.696
 58231.509815    1.839
 58231.5186096   0.468
 58232.5148261   1.992
 58236.5774409   1.915
 58238.5259921   1.702
 58238.5344995   0.152
 58239.517068    1.786
 58242.537203    2.592
 58242.5463105   -0.18
 58242.9344612   0.633
 58247.5461635   2.665
 58247.5548503   1.182
 58249.5328392   2.655
 58252.538874    2.442
 58254.5061908   2.183
 58254.5149408   0.654
 58261.5404208   2.527
 58261.5489405   1.065
 58262.5400853   2.518
 58264.4904055   4.107
 58265.5593084   2.243
 58268.5437724   2.674
 58268.5522992   1.021
 58271.4952757   2.766
 58272.5409094   4.129
 58275.5220478   2.674
 58275.5305695   1.057
 58277.5048418   0.97
 58278.5000204   1.081
 58279.5137003   2.93
 58282.526149    2.349
 58282.5349632   0.359
 58284.5385821   2.4
 58284.5475679   0.638
 58288.6037394   2.046
 58289.5226405   2.355
 58289.5311801   0.751
 58290.5541369   2.171
 58296.5181025   2.327
 58296.5267612   0.626
 58298.5349025   2.546
 58299.4543601   3.834
 58301.5581207   2.267
 58301.5749498   0.655
 58303.5390939   2.934
 58303.547642    0.781
 58304.5332479   2.461
 58305.5566256   0.719
 58310.5168792   2.365
 58310.5257341   0.676
 58312.6102884   1.718
 58316.5338659   2.498
 58317.5398946   2.372
 58317.5485721   0.828
 58323.5540326   2.461
 58324.5103708   2.529
 58324.5188738   0.838
 58327.5275513   2.304
 58330.5252274   2.446
 58331.4566148   2.264
 58331.4651295   0.585
 58338.5069306   2.165
 58338.5154631   0.639
 58338.606563    2.087
 58338.6157234   0.588
 58342.5543459   2.247
 58342.5633014   0.778
 58345.508042    2.095
 58345.5165501   0.668
 58351.5241509   0.949
 58352.5179615   2.147
 58352.5266399   0.688
 58352.5758026   2.162
 58354.5316955   3.886
 58355.4958914   2.362
 58359.5305565   2.416
 58359.5390603   0.861
 58360.8474556   1.653
 58360.8574693   0.523
 58362.5007244   2.934
 58362.510771    1.123
 58362.7170557   3.638
 58363.5299492   2.21
 58364.4862056   0.04
 58366.496061    1.93
 58366.5045555   0.613
 58368.5078476   2.006
 58371.4687057   3.95
 58372.5414034   2.212
 58373.5430496   2.183
 58373.5605933   0.626
 58379.5106603   0.771
 58380.4931405   1.969
 58380.5016862   0.542
 58387.5031344   2.09
 58387.5117471   0.536
 58393.5053096   0.618
 58394.5073175   1.987
 58394.5161548   0.514
 58397.4340263   1.735
 58397.4440328   0.414
 58400.4859242   0.924
 58401.4740305   2.5
 58401.4828092   0.932
 58403.5092197   0.864
 58405.7587283   2.944
 58407.4593021   0.651
 58408.4607962   2.409
 58408.4693074   0.884
 58410.491414    0.335
 58412.4938039   1.965
 58414.4688847   0.761
 58415.5008338   2.337
 58415.5093232   0.751
 58415.5861908   2.038
 58421.4703413   2.224
 58422.4608488   1.979
 58422.4693493   0.522
 58424.473214    1.985
 58426.4891627   0.739
 58429.4779467   2.097
 58429.4865384   0.654
 58436.4428847   1.825
 58436.4513916   0.751
 58438.4629128   0.564
 58441.4573213   2.092
 58441.4662614   0.611
 58443.4842176   1.966
 58443.4927077   0.49
 58444.4990664   2.101
 58444.5080261   0.621
 58447.4727381   1.962
 58448.4435824   0.762
 58450.4451702   2.276
 58450.4536689   0.78
 58451.4652963   1.002
 58455.4390358   1.258
 58456.4425714   2.559
 58457.4511369   2.503
 58457.4598073   0.971
 58457.5386074   0.886
 58460.4338562   0.656
 58461.4577078   0.535
 58463.6248767   3.391
 58464.4531014   1.496
 58464.4615812   0.225
 58471.4636966   1.824
 58471.4722029   0.202
 58471.5388962   0.275
 58475.442554    0.35
 58478.4452858   1.696
 58478.453827    0.317
 58479.4517232   0.384
 58482.4650413   0.082
 58484.4528468   1.632
 58485.4361655   1.592
 58485.4446555   0.111
 58486.4559725   0.094
 58488.4155355   1.731
 58489.4951704   0.284
 58492.4706267   2.103
 58492.4791118   0.539
 58499.4698332   1.971
 58499.4786071   0.426
 58500.4623738   0.613
 58506.4715451   1.548
 58506.4800483   0.222
 58507.5885176   0.278
 58511.4680453   0.292
 58513.4243399   1.512
 58513.4328244   0.259
 58517.5897943   1.748
 58517.6062338   0.319
 58520.4730151   1.681
 58520.4815525   0.454
 58520.5534695   1.877
 58520.5575129   0.576
 58524.4581779   0.566
 58526.4852168   1.825
 58527.5139265   1.711
 58527.5224488   0.351
 58532.5495936   0.51
 58534.4892392   2.238
 58534.4979876   0.791
 58535.519348    0.477
 58536.4693922   1.989
 58538.4897805   0.587
 58541.4889825   2.13
 58541.4975305   0.685
 58548.4994299   1.763
 58548.5079778   0.254
 58550.4696499   0.346
 58555.4948497   1.995
 58555.503376    0.614
 58561.5076587   0.629
 58562.4712253   2.05
 58562.5724374   1.787
 58562.580962    0.396
 58565.4779927   1.926
